Field Name,Field Alias,Domain Name,Domain Description,Domain Type,Option Name,Option Code,Min Value,Max Value
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Eritrea (ER),eri,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Western Sahara (EH),esh,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Spain (ES),esp,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Estonia (EE),est,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Ethiopia (ET),eth,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Finland (FI),fin,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Fiji (FJ),fji,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Falkland Islands (Islas Malvinas) (FK),flk,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,France (FR),fra,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Faroe Islands (FO),fro,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Fed States Micronesia (FM),fsm,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Gabon (GA),gab,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,United Kingdom (GB),gbr,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Georgia (GE),geo,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Guernsey (GG),ggy,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Ghana (GH),gha,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Gibraltar (GI),gib,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Guinea (GN),gin,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Guadeloupe (GP),glp,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,"Gambia, The (GM)",gmb,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Guinea-Bissau (GW),gnb,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Equatorial Guinea (GQ),gnq,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Greece (GR),grc,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Grenada (GD),grd,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Greenland (GL),grl,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Guatemala (GT),gtm,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,French Guiana (GF),guf,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Guam (GU),gum,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Guyana (GY),guy,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Hong Kong (HK),hkg,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Heard Island and McDonald Islands (HM),hmd,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Honduras (HN),hnd,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Croatia (HR),hrv,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Haiti (HT),hti,,
