Area Size UOM (areaSizeUom),Building Condition (buildingCondition),Building Condition Index (buildingConditionIndex),Building Custodial Type (buildingCustodialType),Building Op Status (buildingOpStatus),Country (country),Data Collection (dataCollection),Elevation Unit of Measure (elevationUom),Facility Condition Code (facilityConditionCode),Facility Gross Sq Ft UOM (facilityGrossSqFtUom),Flex Field Boolean (flexFieldYn),Has Giant Voice (hasGiantVoice),has Mass Notification Device (hasMassNotificationDevice),Height Max Uom (heightMaxUom),Installation Identifier (installationId),Installation Name (installationName),Is Heritage Asset (isHeritageAsset),Is Real Property (isRealProperty),Major Command (majorCommand),Mission Dependency Index (missionDependencyIndex),Owner (owner),Perimeter Size UOM (perimeterSizeUom),Road Post Directional (roadPostDirectional),Road Prefix Directional (roadPrefixDirectional),Real Property Interest (rpInterest),RPA Construction Type (rpaConstructionType),Real Property Asset Type (rpaType),Real Property Site Unique Identifier (rpsuid),Site ID (siteId),State or Territory Name (stateName),Vertical Datum Type (verticalDatumType),Visitor Map Name (visitorMapName)
,Radioactive (radioactive),,,,Belize (BZ) (blz),Traditional Survey (tradSurvey),To Be Determined (tbd),,,,,,To Be Determined (tbd),crll - Buechel AB (crll),Camp Mabry ANGS (campMabryAngb),,,,,,To Be Determined (tbd),,,,,,1383 - Antigua Air Station Site #1  (1383),alhk0001 - Antelope Ridge Radio Relay Site #1 (alhk0001),MH (mh),Mean sea level 1912 (msl1912),
,To Be Determined (tbd),,,,Bermuda (BM) (bmu),Unknown (unknown),US Survey Foot (usSurveyFoot),,,,,,US Survey Foot (usSurveyFoot),crwu - Buckley AFB (crwu),Camp Murray ANGS (campMurrayAgs),,,,,,US Survey Foot (usSurveyFoot),,,,,,"1384 - Anvil Mountain Radio Relay Site, Site #1  (1384)","alhm0001 - Antelope Butte Mini-Mute Radar Ste 21Mm6, Site #1 (alhm0001)",MI (mi),Mean sea level 1929 (msl1929),
,Under Construction (underConstruction),,,,Bolivia (BO) (bol),,US Survey Mile (usSurveyMile),,,,,,US Survey Mile (usSurveyMile),ctgb - Grissom ARB (ctgb),Camp Pendleton Military Reservation ANG (campPendletonAngb),,,,,,US Survey Mile (usSurveyMile),,,,,,1386 - Apalachicola Radio Relay Annex Site #1  (1386),almy0001 - Antigua Air Station Site #1 (almy0001),MN (mn),Mean Tide Level (mtl),
,Unserviceable (unservicable),,,,Brazil (BR) (bra),,Yard (yard),,,,,,Yard (yard),ctgc - Grissom ARB (BRAC) (ctgc),Camp Perry ANGB (campPerryAngb),,,,,,Yard (yard),,,,,,1387 - Apex Communication Annex Site #1  (1387),"alta0001 - Anvil Mountain Radio Relay Site, Site #1 (alta0001)",MO (mo),Not Applicable (na),
,Usable (usable),,,,Barbados (BB) (brb),,,,,,,,,curz - Burlington International Airport AGS (curz),Camp Rilea ANGS (campRileaAngs),,,,,,,,,,,,"1389 - Coldwater Drop Zone, Arkabutla Lake, Mississippi Site #1  (1389)",alye0001 - Apalachicola Radio Relay Annex Site #1 (alye0001),MP (mp),North American Datum of 1983 (nad83),
,Not Usable (usableNo),,,,Brunei (BN) (brn),,,,,,,,,cvvm - Richmond International Airport-Byrd Field AGS (cvvm),Camp Ripley Military Reservation (campRipleyMilitaryReservation),,,,,,,,,,,,"1391 - Mesa Research Site, Site #1  (1391)",alyr0001 - Apex Communication Annex Site #1 (alyr0001),MS (ms),Amsterdam Ordnance Datum (NAP) (nap),
,,,,,Bhutan (BT) (btn),,,,,,,,,cyql - Camp Blanding Military Reservation (cyql),Cannon AFB (cannonAfb),,,,,,,,,,,,1392 - Arnold Site #1  (1392),"anjd0001 - Coldwater Drop Zone, Arkabutla Lake, Mississippi Site #1 (anjd0001)",MT (mt),The North American Vertical Datum of 1988 (navd88),
,,,,,Bouvet Island (BV) (bvt),,,,,,,,,cyqy - Camp Beauregard Training Site (cyqy),Cape Canaveral SFS (capeCanaveralSfs),,,,,,,,,,,,1393 - Aruba Site 1 (1393),"anyg0001 - Mesa Research Site, Site #1 (anyg0001)",Not Applicable (na),National Geodetic Vertical Datum of 1929 (ngvd29),
,,,,,Botswana (BW) (bwa),,,,,,,,,cyux - Camp Mabry ANGS (cyux),Cape Cod SFS (capeCodSfs),,,,,,,,,,,,1395 - Atlantic City International Airport Site #1  (1395),anzy0001 - Arnold Site #1 (anzy0001),NC (nc),Ohio River Datum (ohioRd),
,,,,,Central African Republic (CF) (caf),,,,,,,,,czqz - Cannon AFB (czqz),Carswell AFB (carswellAfb),,,,,,,,,,,,1397 - Atterbury Reserve Forces Training (1397),apds0001 - Aruba Site #1 (apds0001),ND (nd),Other (other),
