areaSizeUom,buildingCondition,buildingConditionIndex,buildingCustodialType,buildingOpStatus,country,dataCollection,elevationUom,facilityConditionCode,facilityGrossSqFtUom,flexFieldYn,hasGiantVoice,hasMassNotificationDevice,heightMaxUom,installationId,installationName,isHeritageAsset,isRealProperty,majorCommand,missionDependencyIndex,owner,perimeterSizeUom,roadPostDirectional,roadPrefixDirectional,rpInterest,rpaConstructionType,rpaType,rpsuid,siteId,stateName,verticalDatumType,visitorMapName
,,,,,egy,,,,,,,,,fnwz,ellsworthAfb,,,,,,,,,,,,1431,atqz0005,,,
,,,,,eri,,,,,,,,,fpbb,englandAfb,,,,,,,,,,,,1432,avhl0001,,,
,,,,,esh,,,,,,,,,fspm,fairchildAfb,,,,,,,,,,,,1434,avia0001,,,
,,,,,esp,,,,,,,,,ftev,forbesFieldAgs,,,,,,,,,,,,1435,avqp0001,,,
,,,,,est,,,,,,,,,ftfa,fortDodgeAng,,,,,,,,,,,,1436,avqu0001,,,
,,,,,eth,,,,,,,,,ftqw,fortDrumMilitaryReservation,,,,,,,,,,,,1437,avws0001,,,
,,,,,fin,,,,,,,,,fwjh,fortGeorgeMeade,,,,,,,,,,,,1438,awjb0001,,,
,,,,,fji,,,,,,,,,fxbm,fortHuachuca,,,,,,,,,,,,1439,awub0001,,,
,,,,,flk,,,,,,,,,fxsb,fortIndiantownGApAngs,,,,,,,,,,,,1440,awub0002,,,
,,,,,fra,,,,,,,,,gamh,fortSmithMunicipalArptAgs,,,,,,,,,,,,1441,awub0003,,,
,,,,,fro,,,,,,,,,gamn,fortWayneIApAgs,,,,,,,,,,,,1442,awun0001,,,
,,,,,fsm,,,,,,,,,ghln,fourLakesAngs,,,,,,,,,,,,1443,axqd0001,,,
,,,,,gab,,,,,,,,,gjkz,francisEWarrenAfb,,,,,,,,,,,,1444,axqd0002,,,
,,,,,gbr,,,,,,,,,gkvb,francisSGabreskiAgs,,,,,,,,,,,,1445,axqd0003,,,
,,,,,geo,,,,,,,,,glen,fresnoYosemiteAirTerminalAgs,,,,,,,,,,,,1446,aycb0001,,,
,,,,,ggy,,,,,,,,,grae,galenaFol,,,,,,,,,,,,1447,ayed0001,,,
,,,,,gha,,,,,,,,,grcl,generalBillyMitchellIApAgs,,,,,,,,,,,,1448,ayym0001,,,
,,,,,gib,,,,,,,,,guqe,generalMitchellAngb,,,,,,,,,,,,1449,azyb0001,,,
,,,,,gin,,,,,,,,,gxtn,generalWayneADowningPeoriaIApAgs,,,,,,,,,,,,1450,azyc0001,,,
,,,,,glp,,,,,,,,,haaw,gentileAfs,,,,,,,,,,,,1451,azyd0001,,,
,,,,,gmb,,,,,,,,,hayw,georgeAfb,,,,,,,,,,,,1452,azye0001,,,
,,,,,gnb,,,,,,,,,hemt,glyncoAngs,,,,,,,,,,,,1453,azyf0001,,,
,,,,,gnq,,,,,,,,,hfha,goodfellowAfb,,,,,,,,,,,,1454,azyg0001,,,
,,,,,grc,,,,,,,,,hkrz,grandForksAfb,,,,,,,,,,,,1455,azyh0001,,,
,,,,,grd,,,,,,,,,hpzw,greatFallsIApAgs,,,,,,,,,,,,1456,azyj0001,,,
,,,,,grl,,,,,,,,,htuv,greeleyAngs,,,,,,,,,,,,1457,azyk0001,,,
,,,,,gtm,,,,,,,,,htux,griffissAfb,,,,,,,,,,,,1458,azyl0001,,,
,,,,,guf,,,,,,,,,husa,grissomArb,,,,,,,,,,,,1459,azym0001,,,
,,,,,gum,,,,,,,,,huua,gulfportBiloxiAirport,,,,,,,,,,,,1460,azyn0001,,,
,,,,,guy,,,,,,,,,jasr,hammondAngCommunicationStation,,,,,,,,,,,,1462,azyp0001,,,
,,,,,hkg,,,,,,,,,jbsf,hanscomAfb,,,,,,,,,,,,1464,azyq0001,,,
,,,,,hmd,,,,,,,,,jcca,hardwoodWeaponsRange,,,,,,,,,,,,1465,azyr0001,,,
,,,,,hnd,,,,,,,,,jcgu,harrisburgOlmsteadIApAgs,,,,,,,,,,,,1468,azys0001,,,
,,,,,hrv,,,,,,,,,jfsd,haywardMunicipalAirport,,,,,,,,,,,,1469,azyt0001,,,
,,,,,hti,,,,,,,,,jkse,hectorIApAgs,,,,,,,,,,,,1470,azyu0001,,,
,,,,,hun,,,,,,,,,jlqn,hensleyFieldAgs,,,,,,,,,,,,1473,azyv0001,,,
,,,,,idn,,,,,,,,,jlsq,hillAfb,,,,,,,,,,,,1475,baak0001,,,
,,,,,imn,,,,,,,,,jlss,hollomanAfb,,,,,,,,,,,,1477,baal0001,,,
,,,,,ind,,,,,,,,,jlws,homesteadAfb,,,,,,,,,,,,1478,baam0001,,,
,,,,,iot,,,,,,,,,jmax,homesteadArb,,,,,,,,,,,,1479,baey0001,,,
,,,,,irl,,,,,,,,,jrez,horshamAgs,,,,,,,,,,,,1480,bawb0001,,,
,,,,,irn,,,,,,,,,jtve,hunterArmyAirfield,,,,,,,,,,,,1481,bbyw0001,,,
,,,,,irq,,,,,,,,,jxpj,hurlburtField,,,,,,,,,,,,1482,bbyy0001,,,
,,,,,isl,,,,,,,,,kabd,incirlikAb,,,,,,,,,,,,1485,bddr0001,,,
,,,,,isr,,,,,,,,,kaff,izmirAirBase,,,,,,,,,,,,1486,behk0001,,,
,,,,,ita,,,,,,,,,kell,jacksonBarracksAngs,,,,,,,,,,,,1487,betm0001,,,
,,,,,jam,,,,,,,,,kjaq,jacksonIApThompsonFieldAgs,,,,,,,,,,,,1488,betp0001,,,
,,,,,jey,,,,,,,,,kjgw,jacksonvilleIApAgs,,,,,,,,,,,,1489,bfmv0001,,,
,,,,,jor,,,,,,,,,kkga,jbAndrews,,,,,,,,,,,,1490,bjag0001,,,
