Field Name,Field Alias,Domain Type,Domain Name,Option Name,Option Code,Min Value,Max Value
country,Country,CodedValue,CountryCode,Mexico (MX),mex,,
country,Country,CodedValue,CountryCode,Marshall Islands (MH),mhl,,
country,Country,CodedValue,CountryCode,Macedonia (MK),mkd,,
country,Country,CodedValue,CountryCode,Mali (ML),mli,,
country,Country,CodedValue,CountryCode,Malta (MT),mlt,,
country,Country,CodedValue,CountryCode,Burma (MM),mmr,,
country,Country,CodedValue,CountryCode,Montenegro (ME),mne,,
country,Country,CodedValue,CountryCode,Mongolia (MN),mng,,
country,Country,CodedValue,CountryCode,Northern Mariana Islands (MP),mnp,,
country,Country,CodedValue,CountryCode,Mozambique (MZ),moz,,
country,Country,CodedValue,CountryCode,Mauritania (MR),mrt,,
country,Country,CodedValue,CountryCode,Montserrat (MS),msr,,
country,Country,CodedValue,CountryCode,Martinique (MQ),mtq,,
country,Country,CodedValue,CountryCode,Mauritius (MU),mus,,
country,Country,CodedValue,CountryCode,Malawi (MW),mwi,,
country,Country,CodedValue,CountryCode,Malaysia (MY),mys,,
country,Country,CodedValue,CountryCode,Mayotte (YT),myt,,
country,Country,CodedValue,CountryCode,Namibia (NA),nam,,
country,Country,CodedValue,CountryCode,New Caledonia (NC),ncl,,
country,Country,CodedValue,CountryCode,Niger (NE),ner,,
country,Country,CodedValue,CountryCode,Norfolk Island (NF),nfk,,
country,Country,CodedValue,CountryCode,Nigeria (NG),nga,,
country,Country,CodedValue,CountryCode,Nicaragua (NI),nic,,
country,Country,CodedValue,CountryCode,Niue (NU),niu,,
country,Country,CodedValue,CountryCode,Netherlands (NL),nld,,
country,Country,CodedValue,CountryCode,Norway (NO),nor,,
country,Country,CodedValue,CountryCode,Nepal (NP),npl,,
country,Country,CodedValue,CountryCode,Nauru (NR),nru,,
country,Country,CodedValue,CountryCode,New Zealand (NZ),nzl,,
country,Country,CodedValue,CountryCode,Oman (OM),omn,,
country,Country,CodedValue,CountryCode,Pakistan (PK),pak,,
country,Country,CodedValue,CountryCode,Panama (PA),pan,,
country,Country,CodedValue,CountryCode,Pitcairn Islands (PN),pcn,,
country,Country,CodedValue,CountryCode,Peru (PE),per,,
country,Country,CodedValue,CountryCode,Philippines (PH),phl,,
country,Country,CodedValue,CountryCode,"Etorofu, Habomai, Kunashiri and Shikotan Islands (PJ)",pj,,
country,Country,CodedValue,CountryCode,"Paulau, Republic Of (PW)",plw,,
country,Country,CodedValue,CountryCode,Papua New Guinea (PG),png,,
country,Country,CodedValue,CountryCode,Poland (PL),pol,,
country,Country,CodedValue,CountryCode,Puerto Rico (PR),pri,,
country,Country,CodedValue,CountryCode,"Korea, Democratic People’s Republic of (KP)",prk,,
country,Country,CodedValue,CountryCode,Portugal (PT),prt,,
country,Country,CodedValue,CountryCode,Paraguay (PY),pry,,
country,Country,CodedValue,CountryCode,French Polynesia (PF),pyf,,
country,Country,CodedValue,CountryCode,Qatar (QA),qat,,
country,Country,CodedValue,CountryCode,Reunion (RE),reu,,
country,Country,CodedValue,CountryCode,Romania (RO),rou,,
country,Country,CodedValue,CountryCode,Russia (RU),rus,,
country,Country,CodedValue,CountryCode,Rwanda (RW),rwa,,
country,Country,CodedValue,CountryCode,Saudi Arabia (SA),sau,,
